432,432,432,431,432,433,431,432,432,434,432,432,432,432,433,432,431,433,432,433,432,431,432,432,433,432,432,432,432,433,432,432,432,431,431,433,432,432,432,432,433,432,432,433,433,432,431,432,432,432,432,432,432,431,433,432,433,432,433,433
432,433,432,431,433,432,433,432,431,433,432,432,433,432,433,432,432,431,431,432,432,432,433,432,432,431,431,433,432,432,431,433,432,431,431,432,432,433,433,432,432,432,431,431,432,431,432,432,432,431,431,432,432,432,432,433,432,432,432,432
431,431,431,432,431,431,432,433,432,432,432,432,432,432,431,431,432,433,432,431,433,432,431,432,432,431,432,431,432,432,432,432,431,432,431,432,432,432,432,432,432,431,432,432,432,432,432,433,432,433,433,431,431,434,432,432,432,431,433,433
432,431,431,433,433,431,432,433,432,432,432,432,432,432,431,432,432,431,431,432,432,432,432,432,433,432,432,433,433,433,432,432,432,432,432,432,432,432,432,432,432,432,432,431,432,433,433,433,432,432,432,433,432,431,431,433,433,432,431,431
431,432,432,431,431,431,431,432,431,432,431,432,432,431,431,432,432,433,431,431,431,432,431,432,433,432,432,432,432,431,431,432,431,432,432,432,432,432,433,432,431,431,431,431,432,431,432,431,432,431,433,432,432,432,432,432,431,432,433,432
432,433,432,432,433,432,432,432,433,432,432,432,431,432,432,432,433,434,432,433,433,433,432,431,432,431,432,432,431,432,433,432,432,432,432,431,432,432,431,432,432,432,431,432,432,431,432,432,432,432,431,432,433,432,433,433,432,432,432,433
432,433,432,433,431,432,431,431,431,431,431,431,431,432,431,432,433,433,432,431,431,431,433,431,432,431,432,431,432,432,432,432,432,432,431,432,432,431,433,432,432,432,432,432,431,432,432,432,433,432,432,432,431,431,431,432,432,433,432,432
432,432,432,432,432,432,432,432,432,432,431,431,431,432,431,433,432,432,432,432,432,432,432,432,432,433,432,432,432,432,432,431,432,432,432,432,432,432,431,431,432,431,431,431,432,432,431,431,432,433,432,432,431,432,431,433,432,431,431,432
432,432,431,432,432,433,432,431,432,432,431,432,432,432,432,431,432,431,432,433,432,433,432,433,433,432,432,432,431,431,432,433,431,431,431,432,432,431,432,432,431,431,432,432,432,432,432,432,433,432,432,432,431,432,431,431,431,432,432,432
431,431,431,431,432,432,432,432,432,432,432,432,432,432,432,431,432,432,431,431,431,431,431,432,432,431,432,431,432,433,431,432,432,432,431,432,432,431,432,432,432,432,432,431,432,431,432,432,431,431,431,432,432,432,432,432,431,432,432,432
432,432,432,432,432,432,432,431,432,431,431,431,431,432,431,432,431,432,431,431,432,432,432,431,431,432,431,431,432,431,431,432,432,432,431,432,432,431,431,432,431,432,431,431,431,431,433,432,431,432,431,432,432,432,432,432,432,431,432,432
